Date	    Actual
8/1/1997	56.7
9/1/1997	62
10/1/1997	56.2
11/1/1997	56.6
12/1/1997	58.5
1/1/1998	55.5
2/1/1998	57
3/1/1998	56.2
4/1/1998	54.7
5/1/1998	54.9
6/1/1998	56.2
7/1/1998	55.1
8/1/1998	55.8
9/1/1998	53.5
10/1/1998	55
11/1/1998	53.8
12/1/1998	52.6
1/1/1999	52.9
2/1/1999	55.6
3/1/1999	54.4
4/1/1999	55.3
5/1/1999	55.5
6/1/1999	55.3
7/1/1999	56.7
8/1/1999	56.2
9/1/1999	56.4
10/1/1999	56.2
11/1/1999	57.6
12/1/1999	54.9
1/1/2000	56.9
2/1/2000	56.6
3/1/2000	56.2
4/1/2000	57.4
5/1/2000	58
6/1/2000	57.7
7/1/2000	56.9
8/1/2000	55.3
9/1/2000	57.6
10/1/2000	56.7
11/1/2000	56.7
12/1/2000	56.2
1/1/2001	54
2/1/2001	51.6
3/1/2001	51.3
4/1/2001	50.7
5/1/2001	48.3
6/1/2001	49
7/1/2001	50.1
8/1/2001	48.1
9/1/2001	46.9
10/1/2001	49.5
11/1/2001	44.8
12/1/2001	48.2
1/1/2002	49.7
2/1/2002	48.9
3/1/2002	52.7
4/1/2002	52.8
5/1/2002	53.5
6/1/2002	54.8
7/1/2002	52.5
8/1/2002	50.4
9/1/2002	50.9
10/1/2002	52.3
11/1/2002	51.4
12/1/2002	52.9
1/1/2003	52.3
2/1/2003	53.3
3/1/2003	52.6
4/1/2003	49.1
5/1/2003	50.1
6/1/2003	52.8
7/1/2003	54.3
8/1/2003	57.3
9/1/2003	59.1
10/1/2003	57.6
11/1/2003	58.7
12/1/2003	57.5
1/1/2004	56.8
2/1/2004	61.2
3/1/2004	58
4/1/2004	58.3
5/1/2004	59.6
6/1/2004	58.5
7/1/2004	58.6
8/1/2004	58.5
9/1/2004	57.3
10/1/2004	57.9
11/1/2004	58.8
12/1/2004	58.4
1/1/2005	59.6
2/1/2005	58
3/1/2005	59.4
4/1/2005	58
5/1/2005	55.6
6/1/2005	55.3
7/1/2005	58.1
8/1/2005	59.5
9/1/2005	61.3
10/1/2005	55.7
11/1/2005	57.4
12/1/2005	59.1
1/1/2006	59
2/1/2006	56.3
3/1/2006	57.6
4/1/2006	56.9
5/1/2006	58.4
6/1/2006	57
7/1/2006	55.2
8/1/2006	55.6
9/1/2006	53.9
10/1/2006	54.5
11/1/2006	54.9
12/1/2006	54.5
1/1/2007	53.7
2/1/2007	55.6
3/1/2007	54.2
4/1/2007	52
5/1/2007	53.3
6/1/2007	54.2
7/1/2007	55.3
8/1/2007	53.6
9/1/2007	52.8
10/1/2007	52.5
11/1/2007	53.5
12/1/2007	52.7
1/1/2008	52.5
2/1/2008	45
3/1/2008	49.3
4/1/2008	49.6
5/1/2008	52
6/1/2008	51.7
7/1/2008	48.2
8/1/2008	49.5
9/1/2008	50.6
10/1/2008	50.2
11/1/2008	44.4
12/1/2008	37.3
1/1/2009	40.6
2/1/2009	42.9
3/1/2009	41.6
4/1/2009	40.8
5/1/2009	43.7
6/1/2009	44
7/1/2009	47
8/1/2009	46.4
9/1/2009	48.4
10/1/2009	50.9
11/1/2009	50.6
12/1/2009	48.7
1/1/2010	50.1
2/1/2010	50.5
3/1/2010	53
4/1/2010	55.4
5/1/2010	55.4
6/1/2010	55.4
7/1/2010	53.8
8/1/2010	54.3
9/1/2010	51.5
10/1/2010	53.2
11/1/2010	54.3
12/1/2010	55
1/1/2011	57.1
2/1/2011	59.4
3/1/2011	59.7
4/1/2011	57.3
5/1/2011	52.8
6/1/2011	54.6
7/1/2011	53.3
8/1/2011	52.7
9/1/2011	53.3
10/1/2011	53
11/1/2011	52.9
12/1/2011	52
1/1/2012	52.6
2/1/2012	56.8
3/1/2012	57.3
4/1/2012	56
5/1/2012	53.5
6/1/2012	53.7
7/1/2012	52.1
8/1/2012	52.6
9/1/2012	53.7
10/1/2012	55.1
11/1/2012	54.2
12/1/2012	54.7
1/1/2013	56.1
2/1/2013	55.2
3/1/2013	56
4/1/2013	54.4
5/1/2013	53.1
6/1/2013	53.7
7/1/2013	52.2
8/1/2013	56
9/1/2013	58.6
10/1/2013	54.4
11/1/2013	55.4
12/1/2013	53.9
1/1/2014	53
2/1/2014	54
3/1/2014	51.6
4/1/2014	53.1
5/1/2014	55.2
6/1/2014	56.3
7/1/2014	56
8/1/2014	58.7
9/1/2014	59.6
10/1/2014	58.6
11/1/2014	57.1
12/1/2014	59.3
1/1/2015	56.2
2/1/2015	56.7
3/1/2015	56.9
4/1/2015	56.5
5/1/2015	57.8
6/1/2015	55.7
7/1/2015	56
8/1/2015	60.3
9/1/2015	59
10/1/2015	56.9
11/1/2015	59.1
12/1/2015	55.9
1/1/2016	55.3
2/1/2016	53.5
3/1/2016	53.4
4/1/2016	54.5
5/1/2016	55.7
6/1/2016	52.9
7/1/2016	56.5
8/1/2016	55.5
9/1/2016	51.4
10/1/2016	57.1
11/1/2016	54.8
12/1/2016	57.2
1/1/2017	57.2
2/1/2017	56.5
3/1/2017	57.6
4/1/2017	55.2
5/1/2017	57.5
6/1/2017	56.9
7/1/2017	57.4
8/1/2017	53.9
9/1/2017	55.3
10/1/2017	59.8
11/1/2017	60.1
12/1/2017	57.4
1/1/2018	55.9
2/1/2018	59.9
3/1/2018	59.5
4/1/2018	58.8
5/1/2018	56.8
6/1/2018	58.6
7/1/2018	59.1
8/1/2018	55.7
9/1/2018	58.5
10/1/2018	61.6
11/1/2018	60.3
12/1/2018	60.7
1/1/2019	57.6
2/1/2019	56.7
3/1/2019	59.7
4/1/2019	56.1
5/1/2019	55.5
6/1/2019	56.9
7/1/2019	55.1
8/1/2019	53.7
9/1/2019	56.4
10/1/2019	52.6
11/1/2019	54.7
12/1/2019	53.9
1/1/2020	55
2/1/2020	55.5
3/1/2020	57.3
4/1/2020	52.5
5/1/2020	41.8
6/1/2020	45.4
7/1/2020	57.1
8/1/2020	58.1
9/1/2020	56.9
10/1/2020	57.8
11/1/2020	56.6
12/1/2020	55.9
1/1/2021	57.2
2/1/2021	58.7
3/1/2021	55.3
4/1/2021	63.7
